"gene_names","nested_bh_pval"
"AFAP1L2",0.803128064574854
"IVL",0.998630010938732
"VARS2",0.998630010938732
"PAIP2B",0.947947448218504
"CDC34",0.995730758899907
"ANXA1",0.998630010938732
"FAAH",0.998630010938732
"POLE4",0.952279164119469
"HIPK1",0.802794583162288
"ANKRD27",0.998630010938732
"SMAGP",0.975341463938791
"CNTNAP1",0.728949122812697
"TIFA",0.975341463938791
"RPL22L1",0.952279164119469
"IRF7",0.991691308741008
"GLRX5",0.750049967341801
"CSTB",0.988779995028454
"MRS2",0.630652024235521
"NEIL2",0.996666104771375
"EFHA1",0.950122151806762
"MYBPC2",0.769408663322231
"ZFAND2A",0.947947448218504
"GDPD5",0.968667117426288
"PKLR",0.690904239954609
"DSP",0.998171084764042
"REP15",0.781494579457205
"MAP2K1",0.996666104771375
"ELL3",0.974239259124278
"MRPL42",0.952279164119469
"C4orf33",0.988580585215189
"STARD5",0.952279164119469
"CAPG",0.997222680969096
"AP2A2",0.952279164119469
"SLMO1",0.913547105827353
"ZNF586",0.908595825359194
"MXRA7",0.786648724628771
"TMEM9",0.960425412636327
"PAQR6",0.930628584064013
"PTPLAD2",0.947947448218504
"STYXL1",0.998630010938732
"MIXL1",0.925218546068163
"CHRNE",0.974239259124278
"RNF166",0.998630010938732
"RAB23",0.940078212503013
"CSRP2BP",0.996666104771375
"AP000295.9",0.998630010938732
"VAMP1",0.987079767358289
"TMEM30A",0.998325120337504
"KRI1",0.998630010938732
"GCAT",0.987094323553605
"ALKBH5",0.988779995028454
"PFN4",0.960425412636327
"TAP2",0.997730061850538
"HLA-DQA2",0.842967115237224
"ZNF324",0.975341463938791
"TTC9",0.879000747007173
"SNAPIN",0.988779995028454
"C14orf149",0.982311440102974
"AGAP6",0.41543987471299
"CHI3L2",0.998630010938732
"HES6",0.803128064574854
"ADSS",0.99263378740067
"DUT",0.979029877703773
"STX19",0.689205550404688
"TNKS2",0.930628584064013
"TAF13",0.990412192021873
"CD22",0.692030155978232
"GGT1",0.998630010938732
"ADCY3",0.979029877703773
"CTSS",0.690904239954609
"TRPC1",0.996666104771375
"USP40",0.809721156824759
"ERCC2",0.974239259124278
"RPL8",0.618065036107451
"PTS",0.996666104771375
"PEX11A",0.998630010938732
"ACTR1A",0.952279164119469
"SPATA20",0.975029047714594
"ENPP7",0.998630010938732
"RMI1",0.872968576142024
"SDSL",0.998630010938732
"MRPS7",0.314529318231476
"ARHGEF19",0.968667117426288
"HLA-G",0.990412192021873
"MEAF6",0.986113714490365
"UFM1",0.948156701252713
"CHRAC1",0.998630010938732
"CXCL10",0.766301919936269
"LILRB1",0.930628584064013
"SLC25A4",0.979029877703773
"FLYWCH2",0.909012522705089
"CD59",0.947949620239534
"ZNF730",0.793681556664065
"VSTM4",0.997730061850538
"TXLNB",0.884981310296388
"SPR",0.868189879820631
"CYTIP",0.940078212503013
"CEND1",0.979029877703773
